Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
148,2017-01-01 00:21:32,2017-01-01 00:24:01,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3185,City Hall,40.7177325,-74.043845,24575,Subscriber,1983,1
1283,2017-01-01 00:24:35,2017-01-01 00:45:58,3183,Exchange Place,40.7162469,-74.0334588,3198,Heights Elevator,40.748715945380226,-74.04044330120087,24723,Subscriber,1978,1
372,2017-01-01 00:38:19,2017-01-01 00:44:31,3183,Exchange Place,40.7162469,-74.0334588,3211,Newark Ave,40.72152515,-74.046304543,24620,Subscriber,1989,1
1513,2017-01-01 00:38:37,2017-01-01 01:03:50,3194,McGinley Square,40.7253399253558,-74.06762212514877,3271,Danforth Light Rail,40.69263996618329,-74.08801227807997,24668,Subscriber,1961,1
639,2017-01-01 01:47:52,2017-01-01 01:58:31,3183,Exchange Place,40.7162469,-74.0334588,3203,Hamilton Park,40.727595966,-74.044247311,26167,Subscriber,1993,1
258,2017-01-01 01:56:29,2017-01-01 02:00:48,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,24604,Subscriber,1970,1
663,2017-01-01 02:12:34,2017-01-01 02:23:38,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,3206,Hilltop,40.7311689,-74.0575736,24641,Subscriber,1978,1
567,2017-01-01 02:15:52,2017-01-01 02:25:20,3192,Liberty Light Rail,40.7112423,-74.0557013,3213,Van Vorst Park,40.71848892,-74.047726625,24513,Subscriber,1970,1
551,2017-01-01 02:16:03,2017-01-01 02:25:15,3192,Liberty Light Rail,40.7112423,-74.0557013,3213,Van Vorst Park,40.71848892,-74.047726625,24463,Subscriber,1967,2
573,2017-01-01 02:22:17,2017-01-01 02:31:50,3212,Christ Hospital,40.734785818,-74.050443636,3225,Baldwin at Montgomery,40.7236589,-74.0641943,24486,Subscriber,1984,1
535,2017-01-01 02:22:59,2017-01-01 02:31:55,3212,Christ Hospital,40.734785818,-74.050443636,3225,Baldwin at Montgomery,40.7236589,-74.0641943,24520,Subscriber,1987,2
