Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
435,2017-02-01 00:06:33,2017-02-01 00:13:49,3214,Essex Light Rail,40.7127742,-74.0364857,3199,Newport Pkwy,40.7287448,-74.0321082,24493,Subscriber,1988,1
779,2017-02-01 01:02:21,2017-02-01 01:15:21,3194,McGinley Square,40.7253399253558,-74.06762212514877,3189,West Side Light Rail,40.714402,-74.0887723,26232,Subscriber,1962,1
145,2017-02-01 01:56:05,2017-02-01 01:58:30,3211,Newark Ave,40.72152515,-74.046304543,3278,Monmouth and 6th,40.72568548362901,-74.04879033565521,24511,Subscriber,1972,1
184,2017-02-01 04:38:42,2017-02-01 04:41:46,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3186,Grove St PATH,40.71958611647166,-74.04311746358871,24535,Subscriber,1983,1
197,2017-02-01 04:42:22,2017-02-01 04:45:39,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,26255,Subscriber,1963,1
146,2017-02-01 04:44:45,2017-02-01 04:47:11,3279,Dixon Mills,40.721630142638354,-74.04996782541275,3186,Grove St PATH,40.71958611647166,-74.04311746358871,24688,Subscriber,1982,1
307,2017-02-01 05:16:36,2017-02-01 05:21:44,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,3186,Grove St PATH,40.71958611647166,-74.04311746358871,26254,Subscriber,1985,1
162,2017-02-01 05:20:38,2017-02-01 05:23:20,3267,Morris Canal,40.7124188237569,-74.03852552175522,3183,Exchange Place,40.7162469,-74.0334588,24626,Subscriber,1980,1
173,2017-02-01 05:35:31,2017-02-01 05:38:24,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3186,Grove St PATH,40.71958611647166,-74.04311746358871,26291,Subscriber,1985,1
162,2017-02-01 05:55:18,2017-02-01 05:58:01,3267,Morris Canal,40.7124188237569,-74.03852552175522,3184,Paulus Hook,40.7141454,-74.0335519,26235,Subscriber,1961,1
238,2017-02-01 05:58:09,2017-02-01 06:02:08,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,3186,Grove St PATH,40.71958611647166,-74.04311746358871,24487,Subscriber,1989,2
179,2017-02-01 06:02:34,2017-02-01 06:05:33,3194,McGinley Square,40.7253399253558,-74.06762212514877,3195,Sip Ave,40.73074262530658,-74.06378388404846,24484,Subscriber,1981,1
366,2017-02-01 06:08:15,2017-02-01 06:14:21,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.73074262530658,-74.06378388404846,24699,Subscriber,1958,1
292,2017-02-01 06:10:30,2017-02-01 06:15:22,3267,Morris Canal,40.7124188237569,-74.03852552175522,3183,Exchange Place,40.7162469,-74.0334588,24681,Subscriber,1957,1
312,2017-02-01 06:12:56,2017-02-01 06:18:09,3278,Monmouth and 6th,40.72568548362901,-74.04879033565521,3186,Grove St PATH,40.71958611647166,-74.04311746358871,26207,Subscriber,1983,1
